Team,Player,Position,Age,Experience,College,Games_Played,Tgt_total,Tgt_avg,Tgt_max,Rec_total,Rec_avg,Rec_max,Yds_total,Yds_avg,Yds_max,Y/R_total,Y/R_avg,Y/R_max,TD_total,TD_avg,TD_max,Ctch%_total,Ctch%_avg,Ctch%_max,Fmb_total,Fmb_avg,Fmb_max,FL_total,FL_avg,FL_max
Rams,Puka Nacua,WR,23.0,1,WashingtonBYU,23,213.0,7.607142857142857,20.0,142.0,5.071428571428571,15.0,1976.0,70.57142857142857,164.0,317.32,11.332857142857142,26.25,7.0,0.25,1.0,1498.0,53.5,100.0,1.0,0.03571428571428571,1.0,0.0,0.0,0.0
Commanders,Noah Brown,WR,28.0,7,Ohio St.,85,237.0,2.135135135135135,11.0,141.0,1.2702702702702702,8.0,1902.0,17.135135135135137,172.0,660.76,5.952792792792793,25.5,6.0,0.05405405405405406,2.0,3886.2,35.01081081081081,100.0,1.0,0.009009009009009009,1.0,1.0,0.009009009009009009,1.0
Packers,Romeo Doubs,WR,24.0,2,Nevada,40,216.0,4.8,13.0,135.0,3.0,9.0,1582.0,35.15555555555556,95.0,454.87,10.108222222222222,24.0,13.0,0.28888888888888886,2.0,2490.2,55.337777777777774,100.0,3.0,0.06666666666666667,1.0,1.0,0.022222222222222223,1.0
Falcons,Ray-Ray McCloud,WR,28.0,6,Clemson,88,189.0,1.89,12.0,131.0,1.31,9.0,1149.0,11.49,66.0,529.83,5.2983,42.0,2.0,0.02,1.0,4528.9,45.288999999999994,100.0,17.0,0.17,2.0,5.0,0.05,1.0
Seahawks,Jaxon Smith-Njigba,WR,22.0,1,Ohio St.,28,186.0,6.642857142857143,16.0,129.0,4.607142857142857,12.0,1383.0,49.392857142857146,180.0,295.1,10.539285714285715,25.71,8.0,0.2857142857142857,2.0,1958.0,69.92857142857143,100.0,1.0,0.03571428571428571,1.0,0.0,0.0,0.0
Commanders,Olamide Zaccheaus,WR,27.0,5,Virginia,83,205.0,2.1808510638297873,9.0,127.0,1.351063829787234,8.0,1734.0,18.4468085106383,103.0,813.13,8.65031914893617,93.0,10.0,0.10638297872340426,2.0,3870.9,41.17978723404256,100.0,4.0,0.0425531914893617,2.0,2.0,0.02127659574468085,1.0
49ers,Jauan Jennings,WR,27.0,3,Tennessee,54,192.0,3.096774193548387,12.0,125.0,2.0161290322580645,11.0,1591.0,25.661290322580644,175.0,539.73,8.705322580645161,29.33,11.0,0.1774193548387097,3.0,3014.8,48.62580645161291,100.0,2.0,0.03225806451612903,1.0,0.0,0.0,0.0
Bears,DeAndre Carter,WR,31.0,6,Sacramento St.,105,171.0,1.6285714285714286,10.0,117.0,1.1142857142857143,7.0,1331.0,12.676190476190476,73.0,557.6,5.310476190476191,46.0,6.0,0.05714285714285714,1.0,3872.7,36.88285714285714,100.0,17.0,0.1619047619047619,2.0,5.0,0.047619047619047616,1.0
Packers,Jayden Reed,WR,24.0,1,Western MichiganMichigan St.,27,146.0,5.214285714285714,10.0,105.0,3.75,8.0,1462.0,52.214285714285715,139.0,380.14,13.57642857142857,34.5,12.0,0.42857142857142855,2.0,1998.9,71.38928571428572,100.0,3.0,0.10714285714285714,1.0,0.0,0.0,0.0
Cardinals,Greg Dortch,WR,26.0,5,Wake Forest,50,143.0,2.1666666666666665,11.0,102.0,1.5454545454545454,10.0,954.0,14.454545454545455,103.0,256.51,3.8865151515151513,22.5,5.0,0.07575757575757576,1.0,2338.7,35.43484848484848,100.0,3.0,0.045454545454545456,1.0,3.0,0.045454545454545456,1.0
Panthers,David Moore,WR,29.0,7,East Central (OK),68,175.0,1.8617021276595744,10.0,102.0,1.0851063829787233,6.0,1459.0,15.52127659574468,103.0,696.59,7.4105319148936175,45.0,15.0,0.1595744680851064,2.0,3391.9,36.08404255319149,100.0,5.0,0.05319148936170213,1.0,1.0,0.010638297872340425,1.0
Vikings,Jordan Addison,WR,22.0,1,PittsburghUSC,26,158.0,5.642857142857143,10.0,102.0,3.642857142857143,8.0,1432.0,51.142857142857146,162.0,345.75,12.348214285714286,24.0,14.0,0.5,2.0,1621.7,57.917857142857144,100.0,,,,,,
Eagles,Jahan Dotson,WR,24.0,2,Penn St.,39,161.0,3.659090909090909,10.0,93.0,2.1136363636363638,8.0,1147.0,26.068181818181817,108.0,404.46,9.192272727272726,36.0,11.0,0.25,2.0,2090.2,47.50454545454545,100.0,,,,,,
Packers,Christian Watson,WR,25.0,2,North Dakota St.,33,153.0,3.4,9.0,89.0,1.9777777777777779,7.0,1416.0,31.466666666666665,150.0,466.57,10.368222222222222,37.5,14.0,0.3111111111111111,3.0,1917.4,42.60888888888889,100.0,,,,,,
Rams,Tutu Atwell,WR,25.0,3,Louisville,48,147.0,2.370967741935484,10.0,87.0,1.403225806451613,7.0,1204.0,19.419354838709676,119.0,528.13,8.518225806451612,62.0,4.0,0.06451612903225806,1.0,2042.2,32.938709677419354,100.0,1.0,0.016129032258064516,1.0,0.0,0.0,0.0
